Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12403,50,2,1019.36,4,2,3,9,New / Potential,0
12404,682,1,63.24,1,1,1,3,Other,0
12405,149,1,1710.39,3,1,4,8,High Value Customers,0
12406,22,5,6390.36,4,4,5,13,Champions,1
12407,50,5,1708.12,4,4,4,12,Champions,1
12408,33,8,4340.77,4,4,5,13,Champions,1
12409,79,7,23419.29,3,4,5,12,Loyal Customers,1
12410,309,3,1013.71,2,3,3,8,At Risk,0
12411,410,1,346.9,2,1,2,5,Other,0
12412,75,6,2596.93,3,4,4,11,Loyal Customers,1
12413,67,4,999.45,3,3,3,9,Other,0
12414,217,6,952.4100000000001,2,4,3,9,At Risk,0
12415,24,28,144458.37,4,5,5,14,Champions,1
12416,657,1,202.56,1,1,1,3,Other,0
12417,3,20,6797.41,5,5,5,15,Champions,1
12418,113,4,2021.2,3,3,4,10,High Value Customers,1
12419,386,2,503.01,2,2,2,6,Other,0
12420,64,1,600.39,3,1,2,6,Other,0
12421,16,6,1098.6,5,4,3,12,Loyal Customers,1
12422,96,17,5231.8,3,5,5,13,Loyal Customers,1
12423,1,10,2622.39,5,5,4,14,Champions,1
12424,163,4,3340.0299999999997,3,3,5,11,High Value Customers,1
12425,78,2,1741.41,3,2,4,9,High Value Customers,0
12426,195,2,1345.21,2,2,4,8,Other,0
12427,22,3,825.8000000000001,4,3,3,10,Other,1
12428,26,9,7956.46,4,5,5,14,Champions,1
12429,9,8,6204.41,5,4,5,14,Champions,1
12430,43,1,256.4,4,1,1,6,New / Potential,0
12431,36,27,10432.220000000001,4,5,5,14,Champions,1
12432,43,5,5059.32,4,4,5,13,Champions,1
12433,1,10,16794.14,5,5,5,15,Champions,1
12434,85,3,1103.43,3,3,3,9,Other,0
12435,80,6,13925.93,3,4,5,12,Loyal Customers,1
12436,100,1,509.01,3,1,2,6,Other,0
12437,2,39,12683.4,5,5,5,15,Champions,1
12438,14,2,2906.85,5,2,4,11,High Value Customers,1
12439,683,2,1142.88,1,2,3,6,Other,0
12440,462,2,859.2,1,2,3,6,Other,0
12441,367,1,173.55,2,1,1,4,Other,0
12442,3,1,172.06,5,1,1,7,New / Potential,0
12443,732,1,485.31,1,1,2,4,Other,0
12444,21,5,5005.46,4,4,5,13,Champions,1
12445,22,2,434.98,4,2,2,8,New / Potential,0
12446,58,1,1002.3100000000001,4,1,3,8,New / Potential,0
12447,243,1,476.49,2,1,2,5,Other,0
12448,44,1,449.45,4,1,2,7,New / Potential,0
12449,22,6,4835.89,4,4,5,13,Champions,1
12450,156,5,688.2,3,4,3,10,Loyal Customers,0
12451,11,8,12669.88,5,4,5,14,Champions,1
12452,17,2,430.57000000000005,5,2,2,9,New / Potential,0
12453,134,1,707.09,3,1,3,7,Other,0
12454,56,5,16679.78,4,4,5,13,Champions,1
12455,73,10,5879.95,3,5,5,13,Loyal Customers,1
12456,44,3,3181.04,4,3,5,12,High Value Customers,1
12457,66,8,2995.91,3,4,5,12,Loyal Customers,1
12458,71,4,1777.49,3,3,4,10,High Value Customers,1
12459,605,1,454.36,1,1,2,4,Other,0
12460,456,1,326.65,1,1,2,4,Other,0
12461,94,2,826.88,3,2,3,8,Other,0
12462,19,2,1189.59,5,2,3,10,New / Potential,0
12463,53,4,1344.78,4,3,4,11,High Value Customers,1
12464,10,8,1212.05,5,4,3,12,Loyal Customers,1
12465,17,2,742.19,5,2,3,10,New / Potential,0
12466,682,1,56.73,1,1,1,3,Other,0
12467,423,1,132.8,1,1,1,3,Other,0
12468,188,5,3670.7400000000002,3,4,5,12,Loyal Customers,1
12469,523,2,3070.54,1,2,5,8,Other,0
12470,690,1,211.95,1,1,1,3,Other,0
12471,2,79,39918.19,5,5,5,15,Champions,1
12472,32,19,16249.29,4,5,5,14,Champions,1
12473,29,5,3928.05,4,4,5,13,Champions,1
12474,17,31,12372.75,5,5,5,15,Champions,1
12475,54,2,1149.64,4,2,3,9,New / Potential,0
12476,16,23,14083.91,5,5,5,15,Champions,1
12477,23,9,20276.37,4,5,5,14,Champions,1
12478,4,1,680.99,5,1,3,9,New / Potential,0
12479,11,1,527.2,5,1,2,8,New / Potential,0
12480,28,7,5464.85,4,4,5,13,Champions,1
12481,23,15,12185.51,4,5,5,14,Champions,1
12482,576,29,23691.4,1,5,5,11,At Risk,1
12483,17,19,5097.18,5,5,5,15,Champions,1
12484,33,12,6354.1,4,5,5,14,Champions,1
12485,529,1,708.1,1,1,3,5,Other,0
12486,432,1,1037.28,1,1,3,5,Other,0
12487,731,1,285.3,1,1,1,3,Other,0
12488,10,3,1298.66,5,3,4,12,High Value Customers,1
12489,336,1,334.93,2,1,2,5,Other,0
12490,5,21,9823.64,5,5,5,15,Champions,1
12491,39,1,460.40000000000003,4,1,2,7,New / Potential,0
12492,63,3,715.21,3,3,3,9,Other,0
12493,166,2,433.74,3,2,2,7,Other,0
12494,16,9,1815.27,5,5,4,14,Champions,1
12495,641,1,357.4,1,1,2,4,Other,0
12496,620,2,45.34,1,2,1,4,Other,0
12497,82,3,6248.5,3,3,5,11,High Value Customers,1
12498,21,3,403.70000000000005,4,3,2,9,Other,0
12499,560,1,393.72,1,1,2,4,Other,0
12500,23,19,5955.21,4,5,5,14,Champions,1
12501,337,1,2169.39,2,1,4,7,Other,0
12502,96,5,3723.87,3,4,5,12,Loyal Customers,1
12503,584,1,1126.0,1,1,3,5,Other,0
12504,18,4,779.05,5,3,3,11,Other,1
12505,409,1,955.2,2,1,3,6,Other,0
12506,233,1,73.5,2,1,1,4,Other,0
12507,134,4,1844.06,3,3,4,10,High Value Customers,0
12508,26,2,397.88,4,2,2,8,New / Potential,0
12509,284,1,176.5,2,1,1,4,Other,0
12510,143,9,5178.02,3,5,5,13,Loyal Customers,1
12511,429,1,3084.02,1,1,5,7,Other,0
12512,66,2,132.18,3,2,1,6,Other,0
12513,113,1,612.29,3,1,3,7,Other,0
12514,267,2,1597.76,2,2,4,8,Other,0
12515,353,1,383.7,2,1,2,5,Other,0
12516,78,4,2648.62,3,3,4,10,High Value Customers,1
12517,28,5,2481.6,4,4,4,12,Champions,1
12518,1,5,2056.89,5,4,4,13,Champions,1
12519,64,2,716.54,3,2,3,8,Other,0
12520,79,5,2634.26,3,4,4,11,Loyal Customers,1
12521,143,1,599.68,3,1,2,6,Other,0
12522,39,2,192.72,4,2,1,7,New / Potential,0
12523,19,23,4352.35,5,5,5,15,Champions,1
12524,9,17,11126.11,5,5,5,15,Champions,1
12525,498,3,973.73,1,3,3,7,At Risk,0
12526,1,3,1316.66,5,3,4,12,High Value Customers,1
12527,82,5,735.51,3,4,3,10,Loyal Customers,0
12528,9,6,1933.48,5,4,4,13,Champions,1
12529,528,1,316.48,1,1,2,4,Other,0
12530,60,9,3759.26,3,5,5,13,Loyal Customers,1
12531,15,2,1933.2,5,2,4,11,High Value Customers,1
12532,30,1,349.83000000000004,4,1,2,7,New / Potential,0
12533,628,2,1367.89,1,2,4,7,Other,0
12534,131,1,1089.18,3,1,3,7,Other,0
12535,92,2,716.35,3,2,3,8,Other,0
12536,43,3,12601.830000000002,4,3,5,12,High Value Customers,1
12537,409,1,732.94,2,1,3,6,Other,0
12538,29,2,640.45,4,2,3,9,New / Potential,0
12539,22,7,11214.75,4,4,5,13,Champions,1
12540,20,33,22254.49,4,5,5,14,Champions,1
12541,30,3,981.18,4,3,3,10,Other,0
12542,484,2,481.88,1,2,2,5,Other,0
12543,448,1,980.25,1,1,3,5,Other,0
12544,36,1,372.7,4,1,2,7,New / Potential,0
12545,75,2,1000.39,3,2,3,8,Other,0
12546,47,2,1161.5,4,2,3,9,New / Potential,0
12547,198,3,383.58,2,3,2,7,At Risk,0
12548,166,1,95.19999999999999,3,1,1,5,Other,0
12549,576,6,1575.68,1,4,4,9,At Risk,0
12550,79,1,964.83,3,1,3,7,Other,0
12551,358,1,168.0,2,1,1,4,Other,0
12552,39,2,437.82,4,2,2,8,New / Potential,0
12553,8,12,4608.75,5,5,5,15,Champions,1
12554,449,1,468.5,1,1,2,4,Other,0
12555,682,1,129.23,1,1,1,3,Other,0
12556,50,2,599.56,4,2,2,8,New / Potential,0
12557,16,8,18096.14,5,4,5,14,Champions,1
12558,8,1,269.96,5,1,1,7,New / Potential,0
12559,311,2,561.71,2,2,2,6,Other,0
12560,5,3,2134.01,5,3,4,12,High Value Customers,1
12561,303,1,238.85,2,1,1,4,Other,0
12562,8,9,4966.92,5,5,5,15,Champions,1
12563,409,1,249.24,2,1,1,4,Other,0
12564,261,1,456.90000000000003,2,1,2,5,Other,0
12565,289,1,145.92000000000002,2,1,1,4,Other,0
12566,86,1,351.65,3,1,2,6,Other,0
12567,23,15,11767.48,4,5,5,14,Champions,1
12568,645,1,70.0,1,1,1,3,Other,0
12569,2,32,4124.6900000000005,5,5,5,15,Champions,1
12570,682,1,77.52,1,1,1,3,Other,0
12571,40,2,519.61,4,2,2,8,New / Potential,0
12572,9,2,1020.4200000000001,5,2,3,10,New / Potential,1
12573,227,5,717.41,2,4,3,9,At Risk,0
12574,316,1,218.45000000000002,2,1,1,4,Other,0
12575,457,2,622.82,1,2,3,6,Other,0
12576,36,8,2142.7200000000003,4,4,4,12,Champions,1
12577,35,8,1617.1,4,4,4,12,Champions,1
12578,21,4,4642.45,4,3,5,12,High Value Customers,1
12579,78,1,440.42,3,1,2,6,Other,0
12580,247,2,1052.9,2,2,3,7,Other,0
12581,40,1,197.71,4,1,1,6,New / Potential,0
12582,239,4,1980.4,2,3,4,9,At Risk,0
12583,3,27,13591.58,5,5,5,15,Champions,1
12584,4,9,2338.15,5,5,4,14,Champions,1
12585,234,2,2040.1,2,2,4,8,Other,0
12586,17,4,2062.67,5,3,4,12,High Value Customers,1
12587,8,1,144.0,5,1,1,7,New / Potential,0
12588,39,4,958.78,4,3,3,10,Other,1
12589,29,8,4695.66,4,4,5,13,Champions,1
12590,211,2,9864.26,2,2,5,9,Other,1
12591,317,3,1338.95,2,3,4,9,At Risk,0
12592,92,5,2582.66,3,4,4,11,Loyal Customers,1
12593,109,3,418.1,3,3,2,8,Other,0
12594,38,15,5090.110000000001,4,5,5,14,Champions,1
12595,505,1,299.02,1,1,2,4,Other,0
12596,51,2,618.27,4,2,3,9,New / Potential,0
12597,19,4,3811.22,5,3,5,13,High Value Customers,1
12598,10,11,4534.09,5,5,5,15,Champions,1
12599,29,13,2296.72,4,5,4,13,Champions,1
12600,29,21,4967.42,4,5,5,14,Champions,1
12601,190,6,681.26,2,4,3,9,At Risk,0
12602,59,1,153.12,4,1,1,6,New / Potential,0
12603,22,1,739.1999999999999,4,1,3,8,New / Potential,0
12604,79,2,254.18,3,2,1,6,Other,0
12605,376,4,1232.95,2,3,4,9,At Risk,0
12606,682,1,21.0,1,1,1,3,Other,0
12607,60,1,1579.51,3,1,4,8,High Value Customers,0
12608,405,1,415.79,2,1,2,5,Other,0
12609,78,9,3435.86,3,5,5,13,Loyal Customers,1
12610,23,5,2099.54,4,4,4,12,Champions,1
12611,52,1,1193.32,4,1,3,8,New / Potential,0
12612,74,1,704.04,3,1,3,7,Other,0
12613,57,10,6817.37,4,5,5,14,Champions,1
12614,278,1,315.6,2,1,2,5,Other,0
12615,2,8,5740.9800000000005,5,4,5,14,Champions,1
12616,95,3,1131.1,3,3,3,9,Other,0
12617,29,1,352.98,4,1,2,7,New / Potential,0
12618,22,1,177.31,4,1,1,6,New / Potential,0
12619,16,10,3781.38,5,5,5,15,Champions,1
12620,15,3,1339.41,5,3,4,12,High Value Customers,1
12621,2,35,24311.2,5,5,5,15,Champions,1
12622,232,1,180.1,2,1,1,4,Other,0
12623,276,7,3747.84,2,4,5,11,At Risk,1
12624,106,2,641.13,3,2,3,8,Other,0
12625,212,4,5164.88,2,3,5,10,At Risk,1
12626,23,9,6620.4800000000005,4,5,5,14,Champions,1
12627,11,7,4478.53,5,4,5,14,Champions,1
12628,4,3,786.46,5,3,3,11,Other,1
12629,386,2,1558.22,2,2,4,8,Other,0
12630,10,2,1270.88,5,2,4,11,High Value Customers,1
12631,57,6,3481.57,4,4,5,13,Champions,1
12632,521,2,804.88,1,2,3,6,Other,0
12633,59,7,5678.16,4,4,5,13,Champions,1
12634,536,2,490.0,1,2,2,5,Other,0
12635,90,4,2930.41,3,3,5,11,High Value Customers,1
12636,739,1,141.0,1,1,1,3,Other,0
12637,67,12,8283.81,3,5,5,13,Loyal Customers,1
12638,33,2,921.49,4,2,3,9,New / Potential,0
12639,239,3,1312.3700000000001,2,3,4,9,At Risk,0
12640,24,3,1174.58,4,3,3,10,Other,1
12641,115,1,185.9,3,1,1,5,Other,0
12642,25,3,1013.26,4,3,3,10,Other,1
12643,128,12,8304.82,3,5,5,13,Loyal Customers,1
12644,130,4,1918.49,3,3,4,10,High Value Customers,0
12645,34,8,3539.3,4,4,5,13,Champions,1
12646,5,2,1346.97,5,2,4,11,High Value Customers,1
12647,22,36,16955.55,4,5,5,14,Champions,1
12648,155,4,1112.0,3,3,3,9,Other,0
12649,107,8,2294.65,3,4,4,11,Loyal Customers,1
12650,3,1,314.44,5,1,2,8,New / Potential,0
12651,335,4,377.75,2,3,2,7,At Risk,0
12652,331,2,1017.0300000000001,2,2,3,7,Other,0
12653,149,3,4160.83,3,3,5,11,High Value Customers,1
12654,11,5,601.98,5,4,2,11,Loyal Customers,1
12655,424,1,261.35,1,1,1,3,Other,0
12656,17,8,6407.83,5,4,5,14,Champions,1
12657,11,4,1643.18,5,3,4,12,High Value Customers,1
12658,19,1,686.05,5,1,3,9,New / Potential,0
12659,30,1,91.68,4,1,1,6,New / Potential,0
12660,11,1,245.10000000000002,5,1,1,7,New / Potential,0
12661,436,1,162.0,1,1,1,3,Other,0
12662,1,20,6726.54,5,5,5,15,Champions,1
12663,625,2,239.4,1,2,1,4,Other,0
12664,8,11,6070.04,5,5,5,15,Champions,1
12665,325,3,313.6,2,3,2,7,At Risk,0
12666,394,1,1248.42,2,1,4,7,Other,0
12667,58,1,620.13,4,1,3,8,New / Potential,0
12668,12,10,11383.03,5,5,5,15,Champions,1
12669,151,3,2744.0299999999997,3,3,4,10,High Value Customers,0
12670,10,7,3760.29,5,4,5,14,Champions,1
12671,606,1,2622.481,1,1,4,6,Other,0
12672,330,2,437.05,2,2,2,6,Other,0
12673,5,3,1230.02,5,3,4,12,High Value Customers,1
12674,39,4,1970.6,4,3,4,11,High Value Customers,1
12675,554,2,957.25,1,2,3,6,Other,0
12676,25,11,2843.09,4,5,4,13,Champions,1
12677,555,2,395.1,1,2,2,5,Other,0
12678,42,21,34281.18,4,5,5,14,Champions,1
12679,59,4,1113.02,4,3,3,10,Other,0
12680,1,4,880.81,5,3,3,11,Other,1
12681,15,45,29834.760000000002,5,5,5,15,Champions,1
12682,4,52,22950.22,5,5,5,15,Champions,1
12683,4,21,11633.7,5,5,5,15,Champions,1
12684,8,7,2283.63,5,4,4,13,Champions,1
12685,28,6,2863.08,4,4,4,12,Champions,1
12686,372,1,89.14,2,1,1,4,Other,0
12687,481,2,2138.91,1,2,4,7,Other,0
12688,114,1,4873.81,3,1,5,9,High Value Customers,0
12689,26,2,1247.6100000000001,4,2,4,10,High Value Customers,0
12690,206,1,389.01,2,1,2,5,Other,0
12691,28,7,1170.4,4,4,3,11,Loyal Customers,1
12692,637,1,110.95,1,1,1,3,Other,0
12693,127,7,1703.02,3,4,4,11,Loyal Customers,1
12694,70,3,1843.35,3,3,4,10,High Value Customers,0
12695,7,7,1407.1200000000001,5,4,4,13,Champions,1
12696,435,2,851.91,1,2,3,6,Other,0
12697,29,3,957.59,4,3,3,10,Other,0
12698,590,1,339.75,1,1,2,4,Other,0
12699,418,1,638.11,1,1,3,5,Other,0
12700,8,4,4939.99,5,3,5,13,High Value Customers,1
12701,80,6,2446.41,3,4,4,11,Loyal Customers,1
12702,20,1,219.0,4,1,1,6,New / Potential,0
12703,71,4,1006.53,3,3,3,9,Other,0
12704,7,8,2340.84,5,4,4,13,Champions,1
12705,15,14,11762.1,5,5,5,15,Champions,1
12707,292,1,603.42,2,1,2,5,Other,0
12708,30,18,5117.66,4,5,5,14,Champions,1
12709,15,34,30291.76,5,5,5,15,Champions,1
12710,97,3,1149.02,3,3,3,9,Other,0
12711,612,2,1339.05,1,2,4,7,Other,0
12712,29,21,6723.03,4,5,5,14,Champions,1
12713,1,1,848.55,5,1,3,9,New / Potential,1
12714,9,12,14093.710000000001,5,5,5,15,Champions,1
12715,106,1,343.36,3,1,2,6,Other,0
12716,4,2,1053.49,5,2,3,10,New / Potential,1
12717,151,3,1308.91,3,3,4,10,High Value Customers,0
12718,71,1,238.25,3,1,1,5,Other,0
12719,5,2,644.95,5,2,3,10,New / Potential,1
12720,3,30,7787.28,5,5,5,15,Champions,1
12721,32,8,4013.08,4,4,5,13,Champions,1
12722,85,4,997.63,3,3,3,9,Other,0
12723,4,5,725.07,5,4,3,12,Loyal Customers,1
12724,5,7,2317.52,5,4,4,13,Champions,1
12725,371,4,2266.76,2,3,4,9,At Risk,0
12726,28,11,4014.6,4,5,5,14,Champions,1
12727,11,10,5679.53,5,5,5,15,Champions,1
12728,71,5,1070.17,3,4,3,10,Loyal Customers,1
12729,114,1,453.01,3,1,2,6,Other,0
12730,522,1,829.25,1,1,3,5,Other,0
12731,24,17,25775.71,4,5,5,14,Champions,1
12732,180,1,236.26000000000002,3,1,1,5,Other,0
12733,234,4,2424.87,2,3,4,9,At Risk,0
12734,353,3,639.65,2,3,3,8,At Risk,0
12735,315,2,779.5699999999999,2,2,3,7,Other,0
12736,333,1,234.0,2,1,1,4,Other,0
12737,499,2,3710.5,1,2,5,8,Other,0
12738,372,1,155.35,2,1,1,4,Other,0
12739,78,4,2726.73,3,3,4,10,High Value Customers,1
12740,64,1,427.6,3,1,2,6,Other,0
12741,529,2,406.07,1,2,2,5,Other,0
12742,626,1,1201.52,1,1,3,5,Other,0
12743,134,2,540.13,3,2,2,7,Other,0
12744,52,11,25317.06,4,5,5,14,Champions,1
12745,487,3,925.41,1,3,3,7,At Risk,0
12746,541,1,254.55,1,1,1,3,Other,0
12747,2,26,8898.48,5,5,5,15,Champions,1
12748,1,336,53539.64,5,5,5,15,Champions,1
12749,4,9,6897.36,5,5,5,15,Champions,1
12750,129,1,275.88,3,1,1,5,Other,0
12751,445,1,268.27,1,1,1,3,Other,0
12752,81,1,4366.78,3,1,5,9,High Value Customers,0
12753,23,6,21429.39,4,4,5,13,Champions,1
12754,236,3,3010.74,2,3,5,10,At Risk,0
12755,281,11,5236.26,2,5,5,12,At Risk,1
12756,87,1,112.08,3,1,1,5,Other,0
12757,16,13,7834.650000000001,5,5,5,15,Champions,1
12758,117,7,9903.24,3,4,5,12,Loyal Customers,1
12759,52,8,5020.74,4,4,5,13,Champions,1
12760,456,1,347.8,1,1,2,4,Other,0
12761,458,2,782.95,1,2,3,6,Other,0
12762,8,2,1898.52,5,2,4,11,High Value Customers,1
12763,138,2,494.08,3,2,2,7,Other,0
12764,317,1,1693.88,2,1,4,7,Other,0
12765,472,6,1404.58,1,4,4,9,At Risk,0
12766,4,9,8918.99,5,5,5,15,Champions,1
12767,376,1,949.82,2,1,3,6,Other,0
12768,451,1,168.69,1,1,1,3,Other,0
12769,239,1,1143.6,2,1,3,6,Other,0
12770,211,2,3246.45,2,2,5,9,Other,0
12771,486,1,282.3,1,1,1,3,Other,0
12772,60,1,892.47,3,1,3,7,Other,0
12773,564,1,124.25,1,1,1,3,Other,0
12774,536,1,98.7,1,1,1,3,Other,0
12775,17,7,1686.1200000000001,5,4,4,13,Champions,1
12776,668,1,55.5,1,1,1,3,Other,0
12777,458,1,519.45,1,1,2,4,Other,0
12778,20,9,1775.68,4,5,4,13,Champions,1
12779,38,14,6474.11,4,5,5,14,Champions,1
12780,599,1,337.4,1,1,2,4,Other,0
12781,64,2,826.74,3,2,3,8,Other,0
12782,5,11,4618.24,5,5,5,15,Champions,1
12783,2,6,2225.91,5,4,4,13,Champions,1
12784,9,3,1763.15,5,3,4,12,High Value Customers,1
12785,364,3,1100.4,2,3,3,8,At Risk,0
12786,610,1,728.5000000000001,1,1,3,5,Other,0
12787,10,4,862.1800000000001,5,3,3,11,Other,1
12788,463,4,444.90000000000003,1,3,2,6,At Risk,0
12789,65,3,273.35,3,3,1,7,Other,0
12790,192,2,591.85,2,2,2,6,Other,0
12791,374,6,863.51,2,4,3,9,At Risk,0
12792,257,2,827.01,2,2,3,7,Other,0
12793,335,3,885.53,2,3,3,8,At Risk,0
12794,53,2,860.41,4,2,3,9,New / Potential,0
12795,19,1,430.48,5,1,2,8,New / Potential,0
12796,628,1,381.0,1,1,2,4,Other,0
12797,366,2,552.08,2,2,2,6,Other,0
12798,10,4,8510.93,5,3,5,13,High Value Customers,1
12799,529,1,219.35,1,1,1,3,Other,0
12800,470,3,584.25,1,3,2,6,At Risk,0
12801,501,1,1071.82,1,1,3,5,Other,0
12802,187,7,2416.42,3,4,4,11,Loyal Customers,1
12803,393,1,1092.81,2,1,3,6,Other,0
12804,466,2,325.37,1,2,2,5,Other,0
12805,382,4,1434.95,2,3,4,9,At Risk,0
12806,435,4,2878.96,1,3,4,8,At Risk,0
12807,383,1,330.35,2,1,2,5,Other,0
12808,37,5,776.7,4,4,3,11,Loyal Customers,1
12809,178,3,1755.94,3,3,4,10,High Value Customers,0
12810,535,2,534.99,1,2,2,5,Other,0
12811,261,5,1033.9,2,4,3,9,At Risk,0
12812,45,1,229.64000000000001,4,1,1,6,New / Potential,0
12813,502,3,1687.8,1,3,4,8,At Risk,0
12814,102,1,125.92,3,1,1,5,Other,0
12815,148,2,1063.46,3,2,3,8,Other,0
12816,96,2,572.2,3,2,2,7,Other,0
12817,281,3,690.98,2,3,3,8,At Risk,0
12818,262,1,1542.08,2,1,4,7,Other,0
12819,458,1,540.52,1,1,2,4,Other,0
12820,3,11,2689.52,5,5,4,14,Champions,1
12821,214,2,220.8,2,2,1,5,Other,0
12822,71,2,948.88,3,2,3,8,Other,0
12823,75,18,6501.5,3,5,5,13,Loyal Customers,1
12824,60,1,397.12,3,1,2,6,Other,0
12825,521,2,518.63,1,2,2,5,Other,0
12826,3,12,2800.75,5,5,4,14,Champions,1
12827,6,3,430.15,5,3,2,10,Other,1
12828,3,6,1018.71,5,4,3,12,Loyal Customers,1
12829,337,3,385.3,2,3,2,7,At Risk,0
12830,38,6,6814.64,4,4,5,13,Champions,1
12831,262,3,451.11,2,3,2,7,At Risk,0
12832,32,2,383.03000000000003,4,2,2,8,New / Potential,0
12833,145,1,417.38,3,1,2,6,Other,0
12834,283,1,312.38,2,1,2,5,Other,0
12835,428,41,5996.83,1,5,5,11,At Risk,1
12836,59,15,6559.7300000000005,4,5,5,14,Champions,1
12837,173,2,662.66,3,2,3,8,Other,0
12838,34,10,2975.91,4,5,5,14,Champions,1
12839,3,26,9669.12,5,5,5,15,Champions,1
12840,144,7,4041.9700000000003,3,4,5,12,Loyal Customers,1
12841,5,40,6958.2,5,5,5,15,Champions,1
12842,70,4,1917.99,3,3,4,10,High Value Customers,1
12843,66,30,6583.36,3,5,5,13,Loyal Customers,1
12844,29,4,648.6,4,3,3,10,Other,0
12845,267,4,354.09000000000003,2,3,2,7,At Risk,0
12846,682,1,15.58,1,1,1,3,Other,0
12847,22,2,1609.0,4,2,4,10,High Value Customers,1
12848,676,1,208.0,1,1,1,3,Other,0
12849,31,6,3042.4700000000003,4,4,5,13,Champions,1
12850,446,1,330.0,1,1,2,4,Other,0
12851,97,2,280.76,3,2,1,6,Other,0
12852,295,1,311.55,2,1,2,5,Other,0
12853,135,11,3907.5,3,5,5,13,Loyal Customers,1
12854,79,7,2970.9700000000003,3,4,5,12,Loyal Customers,1
12855,373,4,612.84,2,3,3,8,At Risk,0
12856,8,6,2170.78,5,4,4,13,Champions,1
12857,211,6,3688.0,2,4,5,11,At Risk,1
12858,383,1,147.27,2,1,1,4,Other,0
12859,459,1,575.1,1,1,2,4,Other,0
12860,693,1,54.22,1,1,1,3,Other,0
12861,620,1,68.25,1,1,1,3,Other,0
12862,426,2,984.62,1,2,3,6,Other,0
12863,52,6,2792.55,4,4,4,12,Champions,1
12864,138,2,299.57,3,2,2,7,Other,0
12865,26,4,3323.4700000000003,4,3,5,12,High Value Customers,1
12866,283,3,1227.35,2,3,4,9,At Risk,0
12867,26,13,7829.26,4,5,5,14,Champions,1
12868,186,8,2043.76,3,4,4,11,Loyal Customers,1
12869,682,1,337.66999999999996,1,1,2,4,Other,0
12870,375,3,1676.95,2,3,4,9,At Risk,0
12871,84,3,744.02,3,3,3,9,Other,0
12872,327,12,3283.96,2,5,5,12,At Risk,1
