Customer_ID,LastPurchase,FirstPurchase,Frequency,Monetary,TotalQuantity,UniqueProducts,AverageOrderValue,Recency,CustomerLifetimeDays,Churn,Segment,RFM_Score,Cluster,ChurnProbability,RiskLevel
12369,2010-10-22 13:13:00,2010-03-08 08:09:00,3,1791.15,1241,90,19.25967741935484,413,228,1,At Risk,8,0,0.7866666666666666,High Risk
12370,2011-10-19 14:51:00,2010-02-09 09:41:00,7,4316.56,2604,168,21.47542288557214,51,617,0,Champions,13,1,0.03,Low Risk
12371,2011-10-26 10:16:00,2010-03-04 18:23:00,5,4067.38,1436,134,24.35556886227545,45,600,0,Champions,13,1,0.023333333333333334,Low Risk
12372,2011-09-29 12:12:00,2011-02-16 12:46:00,3,1298.04,794,34,24.962307692307693,72,224,0,High Value Customers,10,0,0.18333333333333332,Low Risk
12373,2011-02-01 13:10:00,2010-02-04 12:08:00,3,1127.65,516,36,22.110784313725492,311,362,1,At Risk,8,0,0.8633333333333333,High Risk
12374,2011-11-14 15:37:00,2010-04-30 14:01:00,4,2989.2200000000003,1362,79,36.01469879518073,25,563,0,High Value Customers,12,1,0.12333333333333334,Low Risk
12375,2011-11-29 10:36:00,2011-09-02 14:23:00,2,457.5,178,14,26.91176470588235,11,87,0,New / Potential,9,0,0.8633333333333333,High Risk
12376,2010-11-15 12:15:00,2010-10-18 08:42:00,2,503.15,240,11,38.70384615384615,390,28,1,Other,6,0,0.8966666666666666,High Risk
12377,2011-01-28 15:45:00,2010-04-29 15:34:00,4,3426.32,2105,129,22.54157894736842,315,274,1,At Risk,10,0,0.82,High Risk
12378,2011-08-02 10:34:00,2010-05-26 14:07:00,2,5416.32,3316,281,17.994418604651162,130,432,1,High Value Customers,10,0,0.7533333333333333,High Risk
12379,2011-09-19 10:09:00,2010-06-23 12:49:00,4,1620.22,815,58,20.002716049382716,82,452,0,High Value Customers,10,1,0.31666666666666665,Medium Risk
12380,2011-11-18 11:27:00,2010-02-15 12:05:00,11,9676.300000000001,3355,156,34.93249097472925,22,640,0,Champions,14,1,0.02,Low Risk
12381,2011-12-05 12:44:00,2011-08-12 09:57:00,5,1845.31,808,70,21.21045977011494,5,115,0,Champions,13,1,0.39666666666666667,Medium Risk
12383,2011-06-08 08:02:00,2010-12-22 14:28:00,5,1850.56,1532,84,18.69252525252525,185,167,1,Loyal Customers,11,0,0.7733333333333333,High Risk
12384,2011-11-11 08:39:00,2011-08-10 11:23:00,2,585.27,126,26,21.676666666666666,29,92,0,New / Potential,8,0,0.33,Medium Risk
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1938.4,612,65,29.821538461538463,379,0,1,Other,7,0,0.9266666666666666,High Risk
12386,2011-01-06 12:37:00,2010-12-08 09:53:00,2,401.9,354,10,40.19,338,29,1,Other,6,0,0.66,High Risk
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,134,9,15.993333333333332,415,0,1,Other,3,0,0.83,High Risk
12388,2011-11-24 12:30:00,2010-05-06 12:54:00,8,3901.11,2001,83,26.719931506849317,16,566,0,Champions,14,1,0.3433333333333333,Medium Risk
12389,2010-11-02 11:52:00,2010-02-22 10:15:00,3,1433.33,614,41,29.251632653061222,403,253,1,At Risk,9,0,0.8033333333333333,High Risk
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,353,32,17.1825,80,0,0,Other,6,0,0.24666666666666667,Low Risk
12391,2011-11-18 12:07:00,2010-02-15 10:12:00,6,2724.84,1204,241,10.205393258426966,22,641,0,Champions,12,1,0.043333333333333335,Low Risk
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75000000000003,73,7,33.53571428571429,591,0,1,Other,3,0,0.7833333333333333,High Risk
12393,2011-09-28 15:41:00,2010-10-07 13:49:00,6,2399.45,1311,63,22.424766355140186,72,356,0,Loyal Customers,11,1,0.14666666666666667,Low Risk
12394,2011-10-07 08:08:00,2011-05-06 14:01:00,2,1272.48,819,26,47.12888888888889,64,153,0,High Value Customers,9,0,0.22666666666666666,Low Risk
12395,2011-11-20 15:21:00,2010-04-16 10:16:00,15,4721.17,3205,145,19.50896694214876,19,583,0,Champions,15,1,0.03333333333333333,Low Risk
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,931.4300000000001,591,65,14.329692307692309,674,0,1,Other,5,0,0.8966666666666666,High Risk
12397,2011-11-04 09:52:00,2011-07-27 14:21:00,2,2409.9,1263,110,19.126190476190477,36,99,0,High Value Customers,10,1,0.23333333333333334,Low Risk
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,1394,85,19.24305882352941,46,0,0,High Value Customers,9,0,0.23,Low Risk
12399,2011-08-12 13:15:00,2010-03-05 08:45:00,7,1962.3,2198,67,17.83909090909091,119,525,1,Loyal Customers,11,1,0.7766666666666666,High Risk
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,205.25,91,11,18.65909090909091,414,0,1,Other,3,0,0.7833333333333333,High Risk
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,11,5,16.86,303,0,1,Other,4,0,0.96,High Risk
12402,2011-01-20 13:49:00,2010-02-07 12:41:00,6,1256.9,584,43,17.955714285714286,323,347,1,At Risk,10,0,0.8133333333333334,High Risk
12403,2011-10-21 10:51:00,2010-07-06 11:39:00,2,1019.36,260,5,113.26222222222222,50,471,0,New / Potential,9,0,0.25666666666666665,Low Risk
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,63.24,1,1,63.24,682,0,1,Other,3,0,1.0,High Risk
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,857,54,31.67388888888889,149,0,1,High Value Customers,8,0,0.8866666666666667,High Risk
12406,2011-11-17 19:22:00,2010-01-11 14:04:00,5,6390.36,3416,114,38.49614457831325,22,675,0,Champions,13,1,0.05333333333333334,Low Risk
12407,2011-10-21 10:11:00,2011-03-20 13:21:00,5,1708.12,1416,57,22.18337662337662,50,214,0,Champions,12,1,0.11333333333333333,Low Risk
12408,2011-11-07 12:27:00,2010-07-29 13:27:00,8,4340.77,2229,104,27.30044025157233,33,465,0,Champions,13,1,0.16,Low Risk
12409,2011-09-22 10:38:00,2010-05-23 15:21:00,7,23419.29,13143,177,88.70943181818183,79,486,0,Loyal Customers,12,1,0.14666666666666667,Low Risk
12410,2011-02-04 10:39:00,2010-07-25 13:26:00,3,1013.71,341,36,25.342750000000002,309,193,1,At Risk,8,0,0.9366666666666666,High Risk
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,346.9,138,22,15.768181818181818,410,0,1,Other,5,0,0.85,High Risk
12412,2011-09-26 10:16:00,2010-06-18 13:22:00,6,2596.93,1997,82,20.448267716535433,75,464,0,Loyal Customers,11,1,0.44,Medium Risk
12413,2011-10-04 09:00:00,2010-11-02 13:26:00,4,999.45,319,41,19.597058823529412,67,335,0,Other,9,0,0.5433333333333333,Medium Risk
12414,2011-05-06 14:51:00,2010-09-02 12:22:00,6,952.4100000000001,495,21,34.01464285714286,217,246,1,At Risk,9,0,0.8333333333333334,High Risk
12415,2011-11-15 14:22:00,2010-06-30 08:30:00,28,144458.37,91447,498,156.00255939524837,24,503,0,Champions,14,1,0.3,Low Risk
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,202.56,132,11,18.414545454545454,657,0,1,Other,3,0,0.8266666666666667,High Risk
12417,2011-12-06 14:52:00,2009-12-06 10:30:00,20,6797.41,2884,270,18.421165311653116,3,730,0,Champions,15,1,0.0,Low Risk
12418,2011-08-19 11:08:00,2010-03-19 14:47:00,4,2021.2,1088,90,19.815686274509805,113,517,1,High Value Customers,10,1,0.7533333333333333,High Risk
12419,2010-11-19 10:04:00,2010-10-22 10:40:00,2,503.01,231,23,20.1204,386,27,1,Other,6,0,0.8866666666666667,High Risk
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,345,29,20.70310344827586,64,0,0,Other,6,0,0.8133333333333334,High Risk
12421,2011-11-24 09:07:00,2010-07-22 13:57:00,6,1098.6,652,44,16.90153846153846,16,489,0,Loyal Customers,12,1,0.20666666666666667,Low Risk
12422,2011-09-05 09:48:00,2009-12-18 12:44:00,17,5231.8,2596,137,30.417441860465118,96,625,1,Loyal Customers,13,1,0.5566666666666666,Medium Risk
12423,2011-12-09 10:10:00,2010-08-31 09:31:00,10,2622.39,1793,128,15.893272727272727,1,465,0,Champions,14,1,0.056666666666666664,Low Risk
12424,2011-06-30 12:06:00,2010-06-09 15:15:00,4,3340.0299999999997,2025,78,36.30467391304347,163,385,1,High Value Customers,11,1,0.7966666666666666,High Risk
12425,2011-09-22 17:31:00,2010-09-17 14:10:00,2,1741.41,1147,87,19.136373626373626,78,370,0,High Value Customers,9,0,0.13666666666666666,Low Risk
12426,2011-05-29 12:26:00,2010-02-15 08:41:00,2,1345.21,584,73,17.470259740259742,195,468,1,Other,8,0,0.8166666666666667,High Risk
12427,2011-11-18 08:56:00,2010-12-03 10:44:00,3,825.8000000000001,533,26,26.638709677419357,22,349,0,Other,10,1,0.17666666666666667,Low Risk
12428,2011-11-14 08:22:00,2011-03-01 09:33:00,9,7956.46,3536,258,27.062789115646257,26,257,0,Champions,14,1,0.07333333333333333,Low Risk
12429,2011-11-30 17:22:00,2010-06-11 13:28:00,8,6204.41,2890,124,40.55169934640523,9,537,0,Champions,14,1,0.11666666666666667,Low Risk
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,117,11,23.30909090909091,43,0,0,New / Potential,6,0,0.21,Low Risk
12431,2011-11-04 11:55:00,2010-01-15 09:04:00,27,10432.220000000001,4600,244,26.749282051282055,36,658,0,Champions,14,1,0.0033333333333333335,Low Risk
12432,2011-10-28 11:43:00,2011-06-20 13:27:00,5,5059.32,1801,107,46.845555555555556,43,129,0,Champions,13,1,0.2,Low Risk
12433,2011-12-09 10:02:00,2010-08-20 09:23:00,10,16794.14,13534,285,30.04318425760286,1,476,0,Champions,15,1,0.13333333333333333,Low Risk
12434,2011-09-16 12:38:00,2010-11-23 13:38:00,3,1103.43,532,62,15.763285714285715,85,296,0,Other,9,0,0.2866666666666667,Low Risk
12435,2011-09-21 09:06:00,2009-12-02 13:58:00,6,13925.93,4958,88,124.33866071428572,80,657,0,Loyal Customers,12,1,0.08333333333333333,Low Risk
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,211,16,31.813125,100,0,1,Other,6,0,0.88,High Risk
12437,2011-12-08 11:35:00,2009-12-02 16:24:00,39,12683.4,8000,273,22.52824156305506,2,735,0,Champions,15,1,0.0033333333333333335,Low Risk
12438,2011-11-25 13:28:00,2011-07-22 13:29:00,2,2906.85,1180,84,29.66173469387755,14,125,0,High Value Customers,11,1,0.29,Low Risk
12439,2010-01-26 12:11:00,2009-12-14 08:40:00,2,1142.88,478,69,16.096901408450705,683,43,1,Other,6,0,0.31666666666666665,Medium Risk
12440,2010-09-03 13:11:00,2009-12-22 12:03:00,2,859.2,331,21,26.85,462,255,1,Other,6,0,0.8066666666666666,High Risk
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,121,11,15.77727272727273,367,0,1,Other,4,0,0.8933333333333333,High Risk
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,182,12,14.338333333333333,3,0,0,New / Potential,7,0,0.29,Low Risk
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,485.31,182,21,23.11,732,0,1,Other,4,0,0.8166666666666667,High Risk
12444,2011-11-18 13:23:00,2011-06-21 14:00:00,5,5005.46,1153,138,28.440113636363638,21,149,0,Champions,13,1,0.18666666666666668,Low Risk
12445,2011-11-17 18:43:00,2010-10-15 12:28:00,2,434.98,206,24,18.124166666666667,22,398,0,New / Potential,8,0,0.21,Low Risk
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,351,57,17.584385964912283,58,0,0,New / Potential,8,0,0.29333333333333333,Low Risk
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,190,26,18.326538461538462,243,0,1,Other,5,0,0.9,High Risk
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,243,22,20.429545454545455,44,0,0,New / Potential,7,0,0.29,Low Risk
12449,2011-11-17 13:46:00,2010-09-27 09:37:00,6,4835.89,2282,125,24.05915422885572,22,416,0,Champions,13,1,0.14333333333333334,Low Risk
12450,2011-07-06 14:41:00,2010-08-22 13:11:00,5,688.2,442,31,18.6,156,318,1,Loyal Customers,10,0,0.8833333333333333,High Risk
12451,2011-11-29 08:40:00,2010-06-28 12:58:00,8,12669.88,9359,352,24.794285714285714,11,518,0,Champions,14,1,0.14666666666666667,Low Risk
12452,2011-11-23 10:28:00,2011-11-23 08:05:00,2,430.57000000000005,185,21,19.57136363636364,17,0,0,New / Potential,9,0,0.3466666666666667,Medium Risk
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,473,43,16.443953488372095,134,0,1,Other,7,0,0.9233333333333333,High Risk
12454,2011-10-14 17:13:00,2010-10-14 17:33:00,5,16679.78,7703,24,416.99449999999996,56,364,0,Champions,13,1,0.14333333333333334,Low Risk
12455,2011-09-27 15:31:00,2009-12-18 12:33:00,10,5879.95,3302,199,25.902863436123347,73,648,0,Loyal Customers,13,1,0.0033333333333333335,Low Risk
12456,2011-10-26 14:41:00,2011-03-30 09:12:00,3,3181.04,1633,105,25.44832,44,210,0,High Value Customers,12,1,0.26666666666666666,Low Risk
12457,2011-10-04 13:13:00,2010-09-30 17:59:00,8,2995.91,1094,63,35.665595238095236,66,368,0,Loyal Customers,12,1,0.26,Low Risk
12458,2011-09-29 15:25:00,2010-08-09 10:33:00,4,1777.49,986,71,21.160595238095237,71,416,0,High Value Customers,10,1,0.27,Low Risk
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,1,454.36,258,23,19.754782608695653,605,0,1,Other,4,0,0.8333333333333334,High Risk
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,1,326.65,170,18,18.147222222222222,456,0,1,Other,4,0,0.9733333333333334,High Risk
12461,2011-09-06 16:57:00,2011-07-08 10:23:00,2,826.88,287,35,23.62514285714286,94,60,1,Other,8,0,0.43,Medium Risk
12462,2011-11-21 09:11:00,2011-02-09 14:44:00,2,1189.59,536,51,19.186935483870965,19,284,0,New / Potential,10,0,0.2733333333333333,Low Risk
12463,2011-10-17 13:44:00,2011-04-12 12:47:00,4,1344.78,776,65,16.202168674698793,53,188,0,High Value Customers,11,1,0.17,Low Risk
12464,2011-11-29 13:33:00,2011-02-03 13:30:00,8,1212.05,112,6,41.79482758620689,10,299,0,Loyal Customers,12,1,0.21,Low Risk
12465,2011-11-22 16:34:00,2011-06-23 13:37:00,2,742.19,479,46,15.791276595744682,17,152,0,New / Potential,10,0,0.32,Medium Risk
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,56.73,1,1,56.73,682,0,1,Other,3,0,0.9866666666666667,High Risk
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,1,132.8,129,9,14.755555555555556,423,0,1,Other,3,0,0.9366666666666666,High Risk
12468,2011-06-05 11:36:00,2010-01-26 10:09:00,5,3670.7400000000002,2201,127,24.471600000000002,188,495,1,Loyal Customers,12,1,0.8133333333333334,High Risk
12469,2010-07-05 12:40:00,2010-06-21 10:30:00,2,3070.54,2552,76,40.40184210526316,523,14,1,Other,8,0,0.8933333333333333,High Risk
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,211.95,95,23,9.215217391304348,690,0,1,Other,3,0,0.99,High Risk
12471,2011-12-07 15:43:00,2009-12-07 10:41:00,79,39918.19,16858,255,35.17021145374449,2,730,0,Champions,15,1,0.0,Low Risk
12472,2011-11-07 14:01:00,2009-12-14 10:49:00,19,16249.29,10378,397,19.32139120095125,32,693,0,Champions,14,1,0.0,Low Risk
12473,2011-11-10 13:46:00,2011-06-01 10:15:00,5,3928.05,2414,140,23.521257485029942,29,162,0,Champions,13,1,0.22666666666666666,Low Risk
12474,2011-11-22 14:39:00,2010-02-11 09:41:00,31,12372.75,7940,369,17.47563559322034,17,649,0,Champions,15,1,0.0,Low Risk
12475,2011-10-17 10:10:00,2010-10-26 08:49:00,2,1149.64,771,54,18.846557377049184,54,356,0,New / Potential,9,0,0.21666666666666667,Low Risk
12476,2011-11-24 12:40:00,2010-07-26 09:04:00,23,14083.91,5631,358,27.400603112840468,16,486,0,Champions,15,1,0.44,Medium Risk
12477,2011-11-17 09:51:00,2010-03-26 14:01:00,9,20276.37,6119,295,35.95101063829787,23,600,0,Champions,14,1,0.08,Low Risk
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,236,36,18.91638888888889,4,0,0,New / Potential,9,0,0.28,Low Risk
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,385,31,17.006451612903227,11,0,0,New / Potential,8,0,0.2,Low Risk
12480,2011-11-11 14:52:00,2010-07-20 13:21:00,7,5464.85,2952,177,22.58202479338843,28,479,0,Champions,13,1,0.13666666666666666,Low Risk
12481,2011-11-17 08:29:00,2010-04-11 13:10:00,15,12185.51,7158,248,32.06713157894737,23,584,0,Champions,14,1,0.03666666666666667,Low Risk
12482,2010-05-12 16:51:00,2010-02-24 10:24:00,29,23691.4,27042,42,116.1343137254902,576,77,1,At Risk,11,1,0.7866666666666666,High Risk
12483,2011-11-22 17:02:00,2010-01-31 13:28:00,19,5097.18,2160,68,36.93608695652174,17,660,0,Champions,15,1,0.0033333333333333335,Low Risk
12484,2011-11-07 11:37:00,2010-01-27 16:41:00,12,6354.1,3266,329,13.490658174097666,33,648,0,Champions,14,1,0.0033333333333333335,Low Risk
12485,2010-06-28 15:22:00,2010-06-28 15:22:00,1,708.1,414,34,20.826470588235296,529,0,1,Other,5,0,0.8466666666666667,High Risk
12486,2010-10-04 12:14:00,2010-10-04 12:14:00,1,1037.28,523,49,21.168979591836734,432,0,1,Other,5,0,0.7,High Risk
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,1,285.3,174,2,142.65,731,0,1,Other,3,0,0.8713140942654999,High Risk
12488,2011-11-30 08:50:00,2011-09-25 10:34:00,3,1298.66,529,46,23.612000000000002,10,65,0,High Value Customers,12,1,0.18,Low Risk
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,105,15,22.328666666666667,336,0,1,Other,5,0,0.8833333333333333,High Risk
12490,2011-12-04 16:07:00,2009-12-01 12:52:00,21,9823.64,5906,195,21.26329004329004,5,733,0,Champions,15,1,0.0,Low Risk
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,260,25,17.70769230769231,39,0,0,New / Potential,7,0,0.36666666666666664,Medium Risk
12492,2011-10-07 15:15:00,2010-11-01 14:58:00,3,715.21,444,38,17.028809523809525,63,340,0,Other,9,0,0.12666666666666668,Low Risk
12493,2011-06-27 10:17:00,2011-05-26 14:53:00,2,433.74,207,20,19.715454545454545,166,31,1,Other,7,0,0.89,High Risk
12494,2011-11-24 09:34:00,2010-05-12 13:52:00,9,1815.27,979,83,16.808055555555555,16,560,0,Champions,14,1,0.16666666666666666,Low Risk
12495,2010-03-09 10:53:00,2010-03-09 10:53:00,1,357.4,130,17,21.023529411764706,641,0,1,Other,4,0,0.93,High Risk
12496,2010-03-29 14:06:00,2010-03-29 13:57:00,2,45.34,30,10,4.534000000000001,620,0,1,Other,4,0,0.9333333333333333,High Risk
12497,2011-09-19 12:29:00,2010-03-05 09:39:00,3,6248.5,5685,41,109.62280701754386,82,563,0,High Value Customers,11,1,0.23,Low Risk
12498,2011-11-18 12:53:00,2011-10-13 09:30:00,3,403.70000000000005,159,21,17.55217391304348,21,36,0,Other,9,0,0.6033333333333334,High Risk
12499,2010-05-28 15:12:00,2010-05-28 15:12:00,1,393.72,302,27,14.582222222222223,560,0,1,Other,4,0,0.9533333333333334,High Risk
12500,2011-11-16 16:20:00,2010-02-04 15:05:00,19,5955.21,3377,88,40.7891095890411,23,650,0,Champions,14,1,0.02666666666666667,Low Risk
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,1783,149,14.559664429530201,337,0,1,Other,7,0,0.8466666666666667,High Risk
12502,2011-09-05 11:52:00,2011-02-03 10:41:00,5,3723.87,820,102,25.332448979591835,96,214,1,Loyal Customers,12,1,0.8433333333333334,High Risk
12503,2010-05-04 13:59:00,2010-05-04 13:59:00,1,1126.0,561,2,563.0,584,0,1,Other,5,0,0.9266666666666666,High Risk
12504,2011-11-21 16:02:00,2010-04-22 10:24:00,4,779.05,458,11,38.9525,18,578,0,Other,11,1,0.15,Low Risk
12505,2010-10-27 09:18:00,2010-10-27 09:18:00,1,955.2,324,42,22.742857142857144,409,0,1,Other,6,0,0.7733333333333333,High Risk
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,23,23,3.1956521739130435,233,0,1,Other,4,0,0.94,High Risk
12507,2011-07-28 17:09:00,2010-05-04 09:23:00,4,1844.06,1256,46,37.633877551020404,134,450,1,High Value Customers,10,0,0.84,High Risk
12508,2011-11-13 15:37:00,2011-11-10 16:27:00,2,397.88,271,57,5.851176470588236,26,2,0,New / Potential,8,0,0.3333333333333333,Medium Risk
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,55,7,25.214285714285715,284,0,1,Other,4,0,0.92,High Risk
12510,2011-07-20 10:15:00,2009-12-04 13:47:00,9,5178.02,2049,94,35.71048275862069,143,592,1,Loyal Customers,13,1,0.7366666666666667,High Risk
12511,2010-10-07 10:39:00,2010-10-07 10:39:00,1,3084.02,1753,190,16.231684210526314,429,0,1,Other,7,0,0.8866666666666667,High Risk
12512,2011-10-04 14:55:00,2011-10-04 14:53:00,2,132.18,96,31,4.263870967741935,66,0,0,Other,6,0,0.27666666666666667,Low Risk
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,462,35,17.494,113,0,1,Other,7,0,0.8966666666666666,High Risk
12514,2011-03-17 16:38:00,2010-03-08 12:18:00,2,1597.76,840,76,19.02095238095238,267,374,1,Other,8,0,0.7966666666666666,High Risk
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,131,16,23.98125,353,0,1,Other,5,0,0.8766666666666667,High Risk
12516,2011-09-23 09:13:00,2010-04-19 14:14:00,4,2648.62,1952,49,35.792162162162164,78,521,0,High Value Customers,10,1,0.12,Low Risk
12517,2011-11-11 14:04:00,2011-06-02 15:13:00,5,2481.6,1361,232,8.894623655913978,28,161,0,Champions,12,1,0.4266666666666667,Medium Risk
12518,2011-12-09 10:13:00,2011-08-21 13:18:00,5,2056.89,1318,84,16.58782258064516,1,109,0,Champions,13,1,0.13666666666666666,Low Risk
12519,2011-10-07 09:26:00,2010-08-20 08:21:00,2,716.54,387,34,18.37282051282051,64,413,0,Other,8,0,0.13,Low Risk
12520,2011-09-21 15:23:00,2011-03-11 11:35:00,5,2634.26,1439,121,17.330657894736845,79,194,0,Loyal Customers,11,1,0.48333333333333334,Medium Risk
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,309,38,15.781052631578946,143,0,1,Other,6,0,0.97,High Risk
12522,2011-10-31 15:30:00,2011-10-19 14:41:00,2,192.72,194,11,16.06,39,12,0,New / Potential,7,0,0.20666666666666667,Low Risk
12523,2011-11-20 12:55:00,2009-12-07 13:46:00,23,4352.35,2263,176,17.479317269076308,19,712,0,Champions,15,1,0.0,Low Risk
12524,2011-11-30 15:31:00,2010-02-08 14:41:00,17,11126.11,7178,157,46.35879166666667,9,660,0,Champions,15,1,0.013333333333333334,Low Risk
12525,2010-07-29 16:08:00,2010-03-02 14:01:00,3,973.73,509,56,16.228833333333334,498,149,1,At Risk,7,0,0.8333333333333334,High Risk
12526,2011-12-09 12:09:00,2011-09-06 14:19:00,3,1316.66,632,64,18.54450704225352,1,93,0,High Value Customers,12,1,0.15333333333333332,Low Risk
12527,2011-09-19 11:55:00,2010-06-28 15:37:00,5,735.51,526,26,22.9846875,82,447,0,Loyal Customers,10,0,0.56,Medium Risk
