StockCode,Description,Revenue,Quantity,Orders
20914,SET/5 RED SPOTTY LID GLASS BOWLS,28513.300000000003,10526,787
82483,WOOD 2 DRAWER CABINET WHITE FINISH,27952.22,4774,1053
22379,RECYCLING BAG RETROSPOT ,27893.78,14259,1013
22139,RETROSPOT TEA SET CERAMIC 11 PC ,27595.33,5745,1145
22865,HAND WARMER OWL DESIGN,27514.63,13675,1058
22188,BLACK HEART CARD HOLDER,27324.45,10255,487
22622,BOX OF VINTAGE ALPHABET BLOCKS,27251.26,2833,511
20725,LUNCH BAG RED SPOTTY,27237.6,17456,1059
22666,RECIPE BOX PANTRY YELLOW DESIGN,27222.52,9600,1277
22077,6 RIBBONS RUSTIC CHARM,27031.04,16026,1361
21928,JUMBO BAG SCANDINAVIAN PAISLEY,26847.1,15358,721
22659,LUNCH BOX I LOVE LONDON,26596.719999999998,15156,763
23245,SET OF 3 REGENCY CAKE TINS,26566.280000000002,5844,718
23199,JUMBO BAG APPLES,26426.3,13875,718
21977,PACK OF 60 PINK PAISLEY CAKE CASES,26407.35,54592,1578
22467,GUMBALL COAT RACK,26149.13,11460,928
22492,MINI PAINT SET VINTAGE ,25900.19,41507,618
72741,GRAND CHOCOLATECANDLE,25895.4,19284,823
84991,60 TEATIME FAIRY CAKE CASES,25785.92,52828,1765
22752,SET 7 BABUSHKA NESTING BOXES,25620.99,3273,577
22726,ALARM CLOCK BAKELIKE GREEN,24898.96,6713,1041
22386,JUMBO BAG PINK WITH WHITE SPOTS,24450.6,13766,712
85099B,JUMBO BAG RED WHITE SPOTTY ,24323.85,13879,465
23355,HOT WATER BOTTLE KEEP CALM,24302.55,5313,719
47566B,TEA TIME PARTY BUNTING,24255.3,5612,655
22149,FELTCRAFT 6 FLOWER FRIENDS,24248.29,12174,1189
48138,DOOR MAT UNION FLAG,24216.23,3733,637
23201,JUMBO BAG ALPHABET,24160.44,12533,752
22624,IVORY KITCHEN SCALES,24137.48,2916,1065
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24098.03,105185,920
20972,PINK CREAM FELT CRAFT TRINKET BOX ,23812.52,20064,1224
37503,TEA TIME CAKE STAND IN GIFT BOX,23784.8,2384,465
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,23598.510000000002,39259,1100
20971,PINK BLUE FELT CRAFT TRINKET BOX,23554.3,20500,1003
47590A,BLUE HAPPY BIRTHDAY BUNTING,23531.47,4681,633
22697,GREEN REGENCY TEACUP AND SAUCER,23507.24,8500,933
22866,HAND WARMER SCOTTY DOG DESIGN,23436.660000000003,11667,939
22197,POPCORN HOLDER,23417.51,30919,632
84836,ZINC METAL HEART DECORATION,23331.43,19328,1244
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,23322.62,12532,408
22551,PLASTERS IN TIN SPACEBOY,23194.95,14623,1156
21485,RETROSPOT HEART HOT WATER BOTTLE,23085.53,4895,815
22507,MEMO BOARD RETROSPOT  DESIGN,23083.44,5208,737
22084,PAPER CHAIN KIT EMPIRE,23049.95,8437,704
23173,REGENCY TEAPOT ROSES ,23033.52,2662,354
82583,HOT BATHS METAL SIGN,23010.120000000003,11797,820
71459,HANGING JAM JAR T-LIGHT HOLDER,22805.99,29255,815
21930,JUMBO STORAGE BAG SKULLS,22795.28,12305,997
22158,3 HEARTS HANGING DECORATION RUSTIC,22471.86,7982,646
22961,JAM MAKING SET PRINTED,22328.95,15867,903
22867,HAND WARMER BIRD DESIGN,22168.33,11000,907
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22109.079999999998,4658,385
82600,NO SINGING METAL SIGN,22097.04,11194,970
84978,HANGING HEART JAR T-LIGHT HOLDER,22079.739999999998,19012,1087
22383,LUNCH BAG SUKI  DESIGN ,22026.4,13896,1073
21212,PACK OF 72 RETRO SPOT CAKE CASES,21838.23,45129,1160
21231,SWEETHEART CERAMIC TRINKET BOX,21793.25,18488,1171
21481,FAWN BLUE HOT WATER BOTTLE,21779.5,7526,834
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,21682.030000000002,7709,1003
21212,PACK OF 72 RETROSPOT CAKE CASES,21551.8,44721,1348
84946,ANTIQUE SILVER TEA GLASS ETCHED,21540.440000000002,18604,789
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,21490.170000000002,8849,599
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,21458.42,2999,544
22835,HOT WATER BOTTLE I AM SO POORLY,21398.28,4638,815
22728,ALARM CLOCK BAKELIKE PINK,21369.98,5833,772
22087,PAPER BUNTING WHITE LACE,21336.350000000002,7752,663
84406B,CREAM CUPID HEARTS COAT HANGER,21256.0,6682,724
20749,ASSORTED COLOUR MINI CASES,21169.64,2972,726
22607,WOODEN ROUNDERS GARDEN SET ,20978.47,2406,643
22113,GREY HEART HOT WATER BOTTLE,20977.78,5623,913
22556,PLASTERS IN TIN CIRCUS PARADE ,20950.16,13112,1100
22090,PAPER BUNTING RETROSPOT,20933.24,7632,658
23202,JUMBO BAG VINTAGE LEAF,20921.55,10695,772
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,20838.9,5724,758
22605,WOODEN CROQUET GARDEN SET,20813.809999999998,1710,548
22090,PAPER BUNTING RETRO SPOTS,20723.25,7595,607
23203,JUMBO BAG VINTAGE DOILY ,20641.4,10620,621
21314,SMALL GLASS HEART TRINKET POT,20588.260000000002,10447,711
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20506.300000000003,5366,654
22554,PLASTERS IN TIN WOODLAND ANIMALS,20471.68,12824,1097
22698,PINK REGENCY TEACUP AND SAUCER,20329.640000000003,7408,746
48184,DOORMAT ENGLISH ROSE ,20298.8,3158,464
20711,JUMBO BAG TOYS ,20283.78,11326,671
22969,HOMEMADE JAM SCENTED CANDLES,20204.8,14012,577
37449,CERAMIC CAKE STAND + HANGING CAKES,20204.579999999998,2277,410
21790,VINTAGE SNAP CARDS,19957.34,25120,1480
22585,PACK OF 6 BIRDY GIFT TAGS,19950.85,16784,950
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,19921.27,4304,692
84970S,HANGING HEART ZINC T-LIGHT HOLDER,19821.96,25389,1141
22083,PAPER CHAIN KIT RETRO SPOT,19804.550000000003,7351,490
22617,BAKING SET SPACEBOY DESIGN,19719.21,4165,883
22294,HEART FILIGREE DOVE  SMALL,19686.6,16260,707
22941,CHRISTMAS LIGHTS 10 REINDEER,19590.9,2487,406
22273,FELTCRAFT DOLL MOLLY,19332.93,7203,701
22570,FELTCRAFT CUSHION RABBIT,19282.55,5420,677
21524,DOORMAT SPOTTY HOME SWEET HOME,19215.5,2671,636
48188,DOORMAT WELCOME PUPPIES,19178.670000000002,3345,368
22625,RED KITCHEN SCALES,19149.63,2360,781
21791,VINTAGE HEADS AND TAILS CARD GAME ,19147.65,16199,1050
22568,FELTCRAFT CUSHION OWL,19128.13,5312,771
22569,FELTCRAFT CUSHION BUTTERFLY,18865.21,5357,679
22413,METAL SIGN TAKE IT OR LEAVE IT ,18863.02,6814,766
85150,LADIES & GENTLEMEN METAL SIGN,18847.98,8078,889
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,18798.98,17242,281
22501,PICNIC BASKET WICKER LARGE,18794.25,2055,497
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,18618.75,2525,432
21622,VINTAGE UNION JACK CUSHION COVER,18495.47,3517,550
22558,CLOTHES PEGS RETROSPOT PACK 24 ,18411.74,13410,1017
21213,PACK OF 72 SKULL CAKE CASES,18319.18,38530,1156
22499,WOODEN UNION JACK BUNTING,18251.280000000002,3165,632
23206,LUNCH BAG APPLE DESIGN,18220.5,11530,866
22384,LUNCH BAG PINK POLKADOT,18207.2,11392,1101
21908,CHOCOLATE THIS WAY METAL SIGN,18041.24,9396,801
84949,SILVER HANGING T-LIGHT HOLDER,18001.35,11635,612
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,17888.71,1702,383
22561,WOODEN SCHOOL COLOURING SET,17861.22,11158,838
21174,POTTERING IN THE SHED METAL SIGN,17814.51,9247,855
22555,PLASTERS IN TIN STRONGMAN,17664.44,11048,856
22456,NATURAL SLATE CHALKBOARD LARGE ,17637.16,4016,595
23344,JUMBO BAG 50'S CHRISTMAS ,17636.04,8933,586
22427,ENAMEL FLOWER JUG CREAM,17471.23,3039,702
21936,RED RETROSPOT PICNIC BAG,17462.96,6292,701
22061,LARGE CAKE STAND  HANGING STRAWBERY,17354.85,2086,443
22147,FELTCRAFT BUTTERFLY HEARTS,17238.05,12605,1026
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,17162.93,15028,559
21479,WHITE SKULL HOT WATER BOTTLE ,16917.32,4538,738
21136,PAINTED METAL PEARS ASSORTED,16907.51,10255,714
22633,HAND WARMER UNION JACK,16857.36,8364,790
22560,TRADITIONAL MODELLING CLAY,16851.64,14393,655
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,16833.35,21125,585
23203,JUMBO BAG DOILEY PATTERNS,16737.1,8735,454
22169,FAMILY ALBUM WHITE PICTURE FRAME,16676.94,2094,570
22505,MEMO BOARD COTTAGE DESIGN,16599.89,3605,655
21218,RED SPOTTY BISCUIT TIN,16431.45,4715,588
22847,BREAD BIN DINER STYLE IVORY,16335.789999999999,1049,435
84992,72 SWEETHEART FAIRY CAKE CASES,16178.47,33936,1176
21527,RED RETROSPOT TRADITIONAL TEAPOT ,15892.74,2266,508
21164,HOME SWEET HOME METAL SIGN ,15888.490000000002,5839,630
22297,HEART IVORY TRELLIS SMALL,15836.59,12939,646
22424,ENAMEL BREAD BIN CREAM,15621.65,1300,559
48173C,DOORMAT BLACK FLOCK ,15618.36,2813,290
22557,PLASTERS IN TIN VINTAGE PAISLEY ,15614.59,9827,991
22083,PAPER CHAIN KIT RETROSPOT,15411.86,5514,585
21877,HOME SWEET HOME MUG,15399.56,13856,650
22383,LUNCH BAG SUKI DESIGN ,15332.9,9570,899
22690,DOORMAT HOME SWEET HOME BLUE ,15329.57,2493,401
71053,WHITE METAL LANTERN,15309.64,4306,583
22662,LUNCH BAG DOLLY GIRL DESIGN,15305.19,9715,872
22632,HAND WARMER RED RETROSPOT,15272.52,7578,675
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,15241.51,16445,821
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,15232.34,6418,798
22296,HEART IVORY TRELLIS LARGE,15218.08,9416,739
84946,ANTIQUE SILVER T-LIGHT GLASS,15176.42,12949,534
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,15172.6,1632,444
20685,DOOR MAT RED SPOT,15093.48,2426,369
22041,"RECORD FRAME 7"" SINGLE SIZE ",15088.77,6845,319
21843,RETRO SPOT CAKE STAND,15083.449999999999,1431,295
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15067.14,4198,416
20719,WOODLAND CHARLOTTE BAG,15030.64,19027,1062
22634,CHILDS BREAKFAST SET SPACEBOY ,15021.4,1627,464
22502,PICNIC BASKET WICKER SMALL,14945.6,2985,566
22652,TRAVEL SEWING KIT,14859.81,9353,716
21975,PACK OF 60 DINOSAUR CAKE CASES,14818.01,30881,1133
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,14796.15,3405,373
22635,CHILDS BREAKFAST SET DOLLY GIRL ,14787.949999999999,1598,450
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,14719.35,4169,578
21914,BLUE HARMONICA IN BOX ,14667.47,11830,815
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,14658.65,2309,510
17003,BROCADE RING PURSE ,14640.96,70082,387
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14626.73,7754,451
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,14609.91,4051,460
21891,TRADITIONAL WOODEN SKIPPING ROPE,14603.13,11721,664
82582,AREA PATROLLED METAL SIGN,14563.1,7346,696
84375,SET OF 20 KIDS COOKIE CUTTERS,14558.970000000001,7275,626
20750,RED RETROSPOT MINI CASES,14548.55,2021,479
22193,RED DINER WALL CLOCK,14527.09,1775,554
85014B,RED RETROSPOT UMBRELLA,14439.12,2613,421
21889,WOODEN BOX OF DOMINOES,14430.66,11803,869
21258,VICTORIAN SEWING BOX LARGE,14406.63,1229,344
22487,WHITE WOOD GARDEN PLANT LADDER,14256.96,1519,808
22993,SET OF 4 PANTRY JELLY MOULDS,14151.42,11769,866
22759,SET OF 3 NOTEBOOKS IN PARCEL,14138.4,8860,634
21484,CHICK GREY HOT WATER BOTTLE,14071.27,4085,676
21165,BEWARE OF THE CAT METAL SIGN ,14070.08,9080,779
22619,SET OF 6 SOLDIER SKITTLES,13950.85,3762,574
21770,OPEN CLOSED METAL SIGN,13926.810000000001,2896,580
22384,LUNCH BAG PINK RETROSPOT,13893.7,8738,730
84378,SET OF 3 HEART COOKIE CUTTERS,13862.84,11007,944
22837,HOT WATER BOTTLE BABUSHKA ,13807.25,3093,354
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,13805.16,3820,445
84997D,CHILDRENS CUTLERY POLKADOT PINK,13788.300000000001,3528,323
21380,WOODEN HAPPY BIRTHDAY GARLAND,13770.150000000001,4877,540
22606,WOODEN SKITTLES GARDEN SET,13722.74,1022,337
35004C,SET OF 3 COLOURED  FLYING DUCKS,13577.15,2851,229
48111,DOORMAT 3 SMILEY CATS,13552.78,2290,326
22940,FELTCRAFT CHRISTMAS FAIRY,13462.18,3286,547
21217,RED SPOTTY ROUND CAKE TINS,13458.25,1415,418
21169,YOU'RE CONFUSING ME METAL SIGN ,13438.58,8642,621
47556B,TEA TIME TEA TOWELS ,13363.35,5141,408
84050,PINK HEART SHAPE EGG FRYING PAN,13316.63,9547,557
22191,IVORY DINER WALL CLOCK,13271.9,1629,475
22271,FELTCRAFT DOLL ROSIE,13244.460000000001,4744,691
79323P,PINK CHERRY LIGHTS,13198.1,2234,229
22295,HEART FILIGREE DOVE LARGE,13184.07,8159,620
22692,DOORMAT WELCOME TO OUR HOME,13103.81,1935,460
21094,SET/6 RED SPOTTY PAPER PLATES,13068.56,17752,692
23200,JUMBO BAG PEARS,13034.92,6729,470
23108,SET OF 10 LED DOLLY LIGHTS,12972.73,2192,351
23313,VINTAGE CHRISTMAS BUNTING,12960.12,2748,359
23356,LOVE HOT WATER BOTTLE,12954.75,2325,449
22236,CAKE STAND 3 TIER MAGIC GARDEN,12951.9,1074,391
22730,ALARM CLOCK BAKELIKE IVORY,12951.5,3451,616
21390,FILIGRIS HEART WITH BUTTERFLY,12849.14,10622,482
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,12846.140000000001,4538,714
35970,ZINC FOLKART SLEIGH BELLS,12806.27,7851,545
15044A,PINK PAPER PARASOL ,12803.78,4894,194
22621,TRADITIONAL KNITTING NANCY,12780.57,8365,719
21704,BAG 250g SWIRLY MARBLES,12750.539999999999,16824,464
22636,CHILDS BREAKFAST SET CIRCUS PARADE,12716.380000000001,1565,460
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12669.04,5331,645
22946,WOODEN ADVENT CALENDAR CREAM,12588.45,869,208
22952,60 CAKE CASES VINTAGE CHRISTMAS,12556.77,25179,801
22655,VINTAGE RED KITCHEN CABINET,12550.0,75,52
C2,CARRIAGE,12546.0,249,248
48116,DOORMAT MULTICOLOUR STRIPE,12541.22,2273,193
48187,DOOR MAT NEW ENGLAND,12520.95,1953,423
22150,3 STRIPEY MICE FELTCRAFT,12515.65,6971,717
21871,SAVE THE PLANET MUG,12515.44,11099,600
23301,GARDENERS KNEELING PAD KEEP CALM ,12463.78,7722,756
62018,SOMBRERO ,12413.8,9548,123
21259,VICTORIAN SEWING BOX SMALL ,12409.960000000001,2171,553
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12407.83,3407,621
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12354.22,10290,625
48129,DOORMAT TOPIARY,12345.7,2048,300
22766,PHOTO FRAME CORNICE,12280.18,4246,580
22355,CHARLOTTE BAG SUKI DESIGN,12268.65,15411,957
22627,MINT KITCHEN SCALES,12219.99,1476,558
22303,COFFEE MUG APPLES DESIGN,12179.95,5310,480
75049L,LARGE CIRCULAR MIRROR MOBILE,12173.5,13566,230
21912,VINTAGE SNAKES & LADDERS,12157.97,3387,615
22485,SET OF 2 WOODEN MARKET CRATES,12146.25,995,341
22776,SWEETHEART CAKESTAND 3 TIER,12130.4,1292,466
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12124.119999999999,15376,889
21669,BLUE STRIPE CERAMIC DRAWER KNOB,12115.21,9897,639
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12089.2,2944,283
85042,ANTIQUE LILY FAIRY LIGHTS,12081.0,2668,281
20724,RED RETROSPOT CHARLOTTE BAG,12034.8,15168,908
23207,LUNCH BAG ALPHABET DESIGN,11994.41,7533,647
21217,RED RETROSPOT ROUND CAKE TINS,11983.6,1268,350
22366,DOORMAT AIRMAIL ,11946.53,1943,320
22553,PLASTERS IN TIN SKULLS,11913.75,7363,905
21535,RED RETROSPOT SMALL MILK JUG,11908.050000000001,4943,713
DOT,DOTCOM POSTAGE,11906.36,16,16
22846,BREAD BIN DINER STYLE RED ,11879.06,771,309
21888,BINGO SET,11877.45,3219,626
15056P,EDWARDIAN PARASOL PINK,11872.810000000001,2436,321
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,11818.65,9592,814
84212,"ASSORTED FLOWER COLOUR ""LEIS""",11759.77,24665,258
22584,PACK OF 6 PANNETONE GIFT BOXES,11725.480000000001,4793,498
21955,DOORMAT UNION JACK GUNS AND ROSES,11722.24,2078,275
79323W, WHITE CHERRY LIGHTS,11697.300000000001,1986,215
20723,STRAWBERRY CHARLOTTE BAG,11654.8,14542,988
23077,DOUGHNUT LIP GLOSS ,11615.7,9642,308
22654,DELUXE SEWING KIT ,11611.27,2045,440
23174,REGENCY SUGAR BOWL GREEN,11567.24,2954,268
21156,RETROSPOT CHILDRENS APRON,11562.37,6437,526
22464,HANGING METAL HEART LANTERN,11530.56,7388,645
22838,3 TIER CAKE TIN RED AND CREAM,11467.38,844,220
21668,RED STRIPE CERAMIC DRAWER KNOB,11446.75,9391,614
22804,CANDLEHOLDER PINK HANGING HEART,11400.75,4069,521
22192,BLUE DINER WALL CLOCK,11358.78,1373,511
47567B,TEA TIME KITCHEN APRON,11321.320000000002,2128,320
21080,SET/20 RED SPOTTY PAPER NAPKINS ,11310.21,15165,781
22207,FRYING PAN UNION FLAG,11283.86,2858,324
22365,DOORMAT RESPECTABLE HOUSE,11282.69,1863,244
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,11229.27,14329,890
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,11187.26,8514,697
22082,RIBBON REEL STRIPES DESIGN ,11166.78,6878,819
20969,RED FLORAL FELTCRAFT SHOULDER BAG,11155.41,3090,518
22623,BOX OF VINTAGE JIGSAW BLOCKS ,11129.42,2195,500
22750,FELTCRAFT PRINCESS LOLA DOLL,11094.51,3039,597
21906,PHARMACIE FIRST AID TIN,11093.9,1642,311
22088,PAPER BUNTING COLOURED LACE,11086.900000000001,4038,478
21485,RED SPOT HEART HOT WATER BOTTLE,11031.1,2362,410
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,11022.43,9171,563
84987,SET OF 36 TEATIME PAPER DOILIES,11012.88,7832,642
22444,GROW YOUR OWN PLANT IN A CAN ,10976.56,8960,328
22151,PLACE SETTING WHITE HEART,10910.31,27085,645
47599A,PINK PARTY BAGS,10841.48,5878,325
22301,COFFEE MUG CAT + BIRD DESIGN,10831.29,4733,466
22631,CIRCUS PARADE LUNCH BOX ,10791.83,5871,468
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,10779.640000000001,5681,426
21671,RED SPOT CERAMIC DRAWER KNOB,10762.47,8931,568
84988,SET OF 72 PINK HEART PAPER DOILIES,10729.4,7595,618
35400,WOODEN BOX ADVENT CALENDAR ,10710.1,1239,331
47591D,PINK FAIRY CAKE CHILDRENS APRON,10704.21,5839,682
22667,RECIPE BOX RETROSPOT ,10702.150000000001,3841,645
21260,FIRST AID TIN,10675.6,3370,442
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,10667.05,2749,363
22950,36 DOILIES VINTAGE CHRISTMAS,10590.4,7744,299
22649,STRAWBERRY FAIRY CAKE TEAPOT,10577.95,2203,410
21937,STRAWBERRY   PICNIC BAG,10572.95,3801,499
22616,PACK OF 12 LONDON TISSUES ,10519.359999999999,37084,633
22417,PACK OF 60 SPACEBOY CAKE CASES,10465.49,20867,911
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,10432.08,2258,286
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,10423.199999999999,7488,449
21844,RED RETROSPOT MUG,10415.650000000001,3787,297
22988,SOLDIERS EGG CUP ,10415.22,9033,349
21172,PARTY METAL SIGN ,10392.72,7444,804
22637,PIGGY BANK RETROSPOT ,10377.02,4278,496
21868,POTTING SHED TEA MUG,10353.86,8770,719
48185,DOOR MAT FAIRY CAKE,10347.72,1640,316
23209,LUNCH BAG VINTAGE DOILY ,10347.66,6438,538
21326,AGED GLASS SILVER T-LIGHT HOLDER,10338.6,17004,532
22580,ADVENT CALENDAR GINGHAM SACK,10338.230000000001,1785,388
23209,LUNCH BAG DOILEY PATTERN ,10323.05,6477,464
22109,FULL ENGLISH BREAKFAST PLATE,10321.92,2872,389
22768,FAMILY PHOTO FRAME CORNICE,10310.19,1114,320
21907,I'M ON HOLIDAY METAL SIGN,10306.150000000001,4990,694
22729,ALARM CLOCK BAKELIKE ORANGE,10300.44,2797,500
22488,NATURAL SLATE RECTANGLE CHALKBOARD,10285.61,6453,653
22508,DOORSTOP RETROSPOT HEART,10283.5,2695,577
21121,SET/10 RED POLKADOT PARTY CANDLES,10238.49,8541,438
22468,BABUSHKA LIGHTS STRING OF 10,10229.64,1630,335
22274,FELTCRAFT DOLL EMILY,10227.310000000001,3675,578
22663,JUMBO BAG DOLLY GIRL DESIGN,10206.78,5367,526
21210,SET OF 72 RETROSPOT PAPER  DOILIES,10177.119999999999,7259,482
23170,REGENCY TEA PLATE ROSES ,10170.99,6563,328
