Customer_ID,Recency,Frequency,Monetary,Segment,ChurnProbability,RiskLevel
17406,333,13,4186.95,At Risk,0.7366666666666667,High Risk
16072,288,4,4180.09,At Risk,0.7466666666666667,High Risk
14740,197,11,4161.06,At Risk,0.6633333333333333,High Risk
12653,149,3,4160.83,High Value Customers,0.8366666666666667,High Risk
16749,591,2,4157.88,Other,0.8933333333333333,High Risk
15002,116,9,4138.08,Loyal Customers,0.7866666666666666,High Risk
14566,111,4,4092.0,High Value Customers,0.8333333333333334,High Risk
14025,465,8,4057.9,At Risk,0.8233333333333334,High Risk
17083,109,9,4049.79,Loyal Customers,0.7133333333333334,High Risk
17307,395,11,3999.89,At Risk,0.82,High Risk
